1,Alabama,1,1979,70.62,53.27
2,Arizona,4,1979,70.27,51.69
3,Arkansas,5,1979,68.11,50.09
4,California,6,1979,68.57,48.95
5,Colorado,8,1979,55.46,36.37
6,Connecticut,9,1979,56.38,42.64
7,Delaware,10,1979,60.11,47.89
8,District of Columbia,11,1979,61.56,46.05
9,Florida,12,1979,79.05,63.78
10,Georgia,13,1979,71.83,54.6
11,Idaho,16,1979,53.99,37.04
12,Illinois,17,1979,58.25,39.87
13,Indiana,18,1979,57.2,40.77
14,Iowa,19,1979,54.68,36.59
15,Kansas,20,1979,64.41,42.76
16,Kentucky,21,1979,61.61,45.47
17,Louisiana,22,1979,74.19,56.54
18,Maine,23,1979,49.32,35.75
19,Maryland,24,1979,59.52,45.75
20,Massachusetts,25,1979,54.65,41.16
21,Michigan,26,1979,49.87,35.37
22,Minnesota,27,1979,46.93,30.26
23,Mississippi,28,1979,71.08,53.5
24,Missouri,29,1979,62.01,42.86
25,Montana,30,1979,52.39,34.8
26,Nebraska,31,1979,57.46,37.98
27,Nevada,32,1979,60.49,42.98
28,New Hampshire,33,1979,50.4,36.82
29,New Jersey,34,1979,58.84,44.5
30,New Mexico,35,1979,65.22,45.91
31,New York,36,1979,52.02,38.01
32,North Carolina,37,1979,66.33,50.13
33,North Dakota,38,1979,48.94,30.57
34,Ohio,39,1979,56.73,41.37
35,Oklahoma,40,1979,69.47,48.09
36,Oregon,41,1979,57.19,40.7
37,Pennsylvania,42,1979,54.64,39.74
38,Rhode Island,44,1979,57.02,42.97
39,South Carolina,45,1979,70.65,53.73
40,South Dakota,46,1979,55.02,35.96
41,Tennessee,47,1979,64.2,48.15
42,Texas,48,1979,76.17,54.77
43,Utah,49,1979,57.95,41.5
44,Vermont,50,1979,49.63,35.84
45,Virginia,51,1979,61.88,46.25
46,Washington,53,1979,55.73,40.37
47,West Virginia,54,1979,57.82,42.94
48,Wisconsin,55,1979,48.84,32.49
49,Wyoming,56,1979,52.21,34.75
50,Alabama,1,1980,72.11,54.53
51,Arizona,4,1980,71.34,52.88
52,Arkansas,5,1980,71.88,51.76
53,California,6,1980,68.59,49.26
54,Colorado,8,1980,57.12,38.39
55,Connecticut,9,1980,55.62,41.3
56,Delaware,10,1980,60.8,47.35
57,District of Columbia,11,1980,62.93,45.86
58,Florida,12,1980,79.57,63.62
59,Georgia,13,1980,72.98,55.28
60,Idaho,16,1980,53.82,38.47
61,Illinois,17,1980,60.39,42.45
62,Indiana,18,1980,58.62,42.47
63,Iowa,19,1980,57.92,39.52
64,Kansas,20,1980,67.75,45.83
65,Kentucky,21,1980,63.58,46.47
66,Louisiana,22,1980,76.77,57.68
67,Maine,23,1980,47.21,33.12
68,Maryland,24,1980,60.38,45.43
69,Massachusetts,25,1980,53.49,39.51
70,Michigan,26,1980,50.23,36.63
71,Minnesota,27,1980,50.33,32.65
72,Mississippi,28,1980,73.14,54.72
73,Missouri,29,1980,66.19,45.76
74,Montana,30,1980,53.73,36.73
75,Nebraska,31,1980,61.38,41.09
76,Nevada,32,1980,60.71,43.85
77,New Hampshire,33,1980,48.62,34.87
78,New Jersey,34,1980,59.41,43.79
79,New Mexico,35,1980,66.65,47.19
80,New York,36,1980,50.73,36.82
81,North Carolina,37,1980,67.05,50.15
82,North Dakota,38,1980,52.79,34.02
83,Ohio,39,1980,57.08,42.13
84,Oklahoma,40,1980,73.74,50.99
85,Oregon,41,1980,56.78,40.84
86,Pennsylvania,42,1980,54.72,39.49
87,Rhode Island,44,1980,56.35,41.22
88,South Carolina,45,1980,71.78,54.03
89,South Dakota,46,1980,58.93,39.3
90,Tennessee,47,1980,66.5,49.28
91,Texas,48,1980,78.68,56.38
92,Utah,49,1980,59.07,43.37
93,Vermont,50,1980,47.81,34.19
94,Virginia,51,1980,62.94,46.33
95,Washington,53,1980,54.41,40.42
96,West Virginia,54,1980,58.34,43.26
97,Wisconsin,55,1980,50.69,34.52
98,Wyoming,56,1980,53.2,36.61
99,Alabama,1,1981,72.55,53.97
100,Arizona,4,1981,72.86,54.26
101,Arkansas,5,1981,71.62,52.76
102,California,6,1981,69.56,50.22
103,Colorado,8,1981,59.15,40
104,Connecticut,9,1981,55.67,41.59
105,Delaware,10,1981,60.08,46.96
106,District of Columbia,11,1981,62.48,44.92
107,Florida,12,1981,79.41,62.16
108,Georgia,13,1981,73.31,53.97
109,Idaho,16,1981,54.95,38.97
110,Illinois,17,1981,60.51,43.41
111,Indiana,18,1981,59.27,42.97
112,Iowa,19,1981,59.27,40.71
113,Kansas,20,1981,68.52,47.19
114,Kentucky,21,1981,63.39,46.68
115,Louisiana,22,1981,77.13,58.71
116,Maine,23,1981,48.85,35.19
117,Maryland,24,1981,59.77,44.66
118,Massachusetts,25,1981,53.8,40.1
119,Michigan,26,1981,51.26,37.49
120,Minnesota,27,1981,52.37,35.35
121,Mississippi,28,1981,74.19,55.17
122,Missouri,29,1981,65.16,46.66
123,Montana,30,1981,55.53,38.61
124,Nebraska,31,1981,62.89,42.48
125,Nevada,32,1981,62.31,44.98
126,New Hampshire,33,1981,49.73,36.28
127,New Jersey,34,1981,58.67,43.55
128,New Mexico,35,1981,67.42,48.23
129,New York,36,1981,51.24,37.66
130,North Carolina,37,1981,67.12,49
131,North Dakota,38,1981,55,36.58
132,Ohio,39,1981,57.29,41.64
133,Oklahoma,40,1981,73.1,51.96
134,Oregon,41,1981,57.45,41.37
135,Pennsylvania,42,1981,54.32,38.99
136,Rhode Island,44,1981,55.98,41.55
137,South Carolina,45,1981,72.17,52.62
138,South Dakota,46,1981,60.26,40.76
139,Tennessee,47,1981,66.22,49.38
140,Texas,48,1981,77.56,57.23
141,Utah,49,1981,60.99,44.78
142,Vermont,50,1981,48.99,35.73
143,Virginia,51,1981,62.99,45.23
144,Washington,53,1981,56.07,41.57
145,West Virginia,54,1981,57.72,42.18
146,Wisconsin,55,1981,51.56,35.83
147,Wyoming,56,1981,55.49,38.35
148,Alabama,1,1982,72.69,56.06
149,Arizona,4,1982,69.41,51.85
150,Arkansas,5,1982,71.04,52.63
151,California,6,1982,65.7,47.95
152,Colorado,8,1982,55.54,36.88
153,Connecticut,9,1982,55.51,40.89
154,Delaware,10,1982,60.78,47.4
155,District of Columbia,11,1982,63.15,46.06
156,Florida,12,1982,80.24,65.88
157,Georgia,13,1982,73.29,57.27
158,Idaho,16,1982,50.67,35.63
159,Illinois,17,1982,58.95,41.95
160,Indiana,18,1982,59.37,42.98
161,Iowa,19,1982,54.59,37.66
162,Kansas,20,1982,64.78,44.06
163,Kentucky,21,1982,64.04,47.85
164,Louisiana,22,1982,76.95,59.28
165,Maine,23,1982,47.35,32.03
166,Maryland,24,1982,60.78,45.67
167,Massachusetts,25,1982,53.43,39.02
168,Michigan,26,1982,50.22,35.89
169,Minnesota,27,1982,47.77,30.94
170,Mississippi,28,1982,73.92,56.37
171,Missouri,29,1982,62.97,45.32
172,Montana,30,1982,49.85,33.73
173,Nebraska,31,1982,57.63,38.61
174,Nevada,32,1982,57.58,41.8
175,New Hampshire,33,1982,49.02,33.94
176,New Jersey,34,1982,58.97,43.52
177,New Mexico,35,1982,65.18,46.48
178,New York,36,1982,51.41,36.54
179,North Carolina,37,1982,67.57,51.7
180,North Dakota,38,1982,48.26,30.76
181,Ohio,39,1982,58.19,42.44
182,Oklahoma,40,1982,71.18,50.1
183,Oregon,41,1982,54.34,39.37
184,Pennsylvania,42,1982,55.24,39.61
185,Rhode Island,44,1982,55.96,41.01
186,South Carolina,45,1982,71.97,56.2
187,South Dakota,46,1982,53.71,36.01
188,Tennessee,47,1982,66.4,50.62
189,Texas,48,1982,78.05,56.76
190,Utah,49,1982,56.61,41.32
191,Vermont,50,1982,48.37,33.22
192,Virginia,51,1982,63.53,47.12
193,Washington,53,1982,53.99,39.83
194,West Virginia,54,1982,59.5,43.96
195,Wisconsin,55,1982,49.32,32.88
196,Wyoming,56,1982,50.55,34.11
197,Alabama,1,1983,70.11,53.79
198,Arizona,4,1983,69.38,52.58
199,Arkansas,5,1983,68.78,51.41
200,California,6,1983,65.97,49.12
201,Colorado,8,1983,54.63,37.29
202,Connecticut,9,1983,57.3,43.17
203,Delaware,10,1983,61.68,48.92
204,District of Columbia,11,1983,63.36,46.9
205,Florida,12,1983,78.09,63.33
206,Georgia,13,1983,71.16,54.68
207,Idaho,16,1983,52.31,37.53
208,Illinois,17,1983,60.18,43.65
209,Indiana,18,1983,60.02,44.1
210,Iowa,19,1983,56.04,39.78
211,Kansas,20,1983,64.17,44.36
212,Kentucky,21,1983,63.25,47.3
213,Louisiana,22,1983,73.61,57.13
214,Maine,23,1983,49.61,35.85
215,Maryland,24,1983,61.18,46.74
216,Massachusetts,25,1983,55.24,41.67
217,Michigan,26,1983,51.63,38.25
218,Minnesota,27,1983,49.77,34.09
219,Mississippi,28,1983,70.66,54.32
220,Missouri,29,1983,63.18,45.7
221,Montana,30,1983,52.71,36.45
222,Nebraska,31,1983,57.68,39.6
223,Nevada,32,1983,58.55,43.31
224,New Hampshire,33,1983,50.77,37.4
225,New Jersey,34,1983,60.4,45.39
226,New Mexico,35,1983,64.4,46.24
227,New York,36,1983,52.51,38.84
228,North Carolina,37,1983,66.78,50.7
229,North Dakota,38,1983,51.23,34.32
230,Ohio,39,1983,58.64,43.31
231,Oklahoma,40,1983,69.58,49.46
232,Oregon,41,1983,55.53,41.06
233,Pennsylvania,42,1983,56.05,41.12
234,Rhode Island,44,1983,57.94,43.31
235,South Carolina,45,1983,70.95,54.32
236,South Dakota,46,1983,55.87,38.47
237,Tennessee,47,1983,65.15,49.56
238,Texas,48,1983,76.1,55.34
239,Utah,49,1983,57.06,42.46
240,Vermont,50,1983,49.85,36.64
241,Virginia,51,1983,63.15,47.07
242,Washington,53,1983,54.85,40.98
243,West Virginia,54,1983,58.94,43.93
244,Wisconsin,55,1983,50.87,35.94
245,Wyoming,56,1983,51.16,35.35
246,Alabama,1,1984,72.03,54.79
247,Arizona,4,1984,70.21,52.51
248,Arkansas,5,1984,69.71,52.3
249,California,6,1984,67.9,48.99
250,Colorado,8,1984,54.3,36.87
251,Connecticut,9,1984,56.06,42.88
252,Delaware,10,1984,60.9,48.6
253,District of Columbia,11,1984,62.66,47.18
254,Florida,12,1984,79.02,63.55
255,Georgia,13,1984,72.88,55.68
256,Idaho,16,1984,50.16,35.13
257,Illinois,17,1984,59.75,43.04
258,Indiana,18,1984,59.05,43.38
259,Iowa,19,1984,55.83,39.26
260,Kansas,20,1984,65.43,45.08
261,Kentucky,21,1984,63.44,47.61
262,Louisiana,22,1984,75.67,58.43
263,Maine,23,1984,48.74,34.87
264,Maryland,24,1984,60.34,46.6
265,Massachusetts,25,1984,54.3,41.36
266,Michigan,26,1984,51,36.95
267,Minnesota,27,1984,49.56,33.05
268,Mississippi,28,1984,72.79,55.62
269,Missouri,29,1984,63.43,45.61
270,Montana,30,1984,52.2,35.9
271,Nebraska,31,1984,58.7,40.27
272,Nevada,32,1984,58.51,42.43
273,New Hampshire,33,1984,49.73,36.65
274,New Jersey,34,1984,59.31,45.13
275,New Mexico,35,1984,64.49,46.24
276,New York,36,1984,51.7,38.1
277,North Carolina,37,1984,67.35,51.43
278,North Dakota,38,1984,51.48,33.64
279,Ohio,39,1984,57.86,42.64
280,Oklahoma,40,1984,71.55,50.33
281,Oregon,41,1984,54.18,39.33
282,Pennsylvania,42,1984,55.13,40.53
283,Rhode Island,44,1984,56.61,43.05
284,South Carolina,45,1984,71.84,55.04
285,South Dakota,46,1984,55.8,38.07
286,Tennessee,47,1984,65.91,50.07
287,Texas,48,1984,77.67,56.42
288,Utah,49,1984,55.98,40.66
289,Vermont,50,1984,49.31,36.2
290,Virginia,51,1984,63.18,47.65
291,Washington,53,1984,53.02,39.17
292,West Virginia,54,1984,58.91,44.13
293,Wisconsin,55,1984,50.51,34.79
294,Wyoming,56,1984,50.11,34.17
295,Alabama,1,1985,71.78,55.25
296,Arizona,4,1985,69.92,52.17
297,Arkansas,5,1985,69.44,51.88
298,California,6,1985,67.88,48.32
299,Colorado,8,1985,54.77,36.58
300,Connecticut,9,1985,56.05,42.15
301,Delaware,10,1985,61.81,48.85
302,District of Columbia,11,1985,64.05,47.1
303,Florida,12,1985,80.02,64.2
304,Georgia,13,1985,73.36,56.18
305,Idaho,16,1985,50.22,33.78
306,Illinois,17,1985,59.25,42.03
307,Indiana,18,1985,59.37,43.1
308,Iowa,19,1985,55.98,37.41
309,Kansas,20,1985,63.91,43.68
310,Kentucky,21,1985,63.52,47.49
311,Louisiana,22,1985,75.55,58.7
312,Maine,23,1985,47.4,33.27
313,Maryland,24,1985,61.43,46.72
314,Massachusetts,25,1985,53.99,40.35
315,Michigan,26,1985,50.44,36.52
316,Minnesota,27,1985,48.05,30.81
317,Mississippi,28,1985,72.5,55.56
318,Missouri,29,1985,62.14,44.68
319,Montana,30,1985,50.24,33.14
320,Nebraska,31,1985,58.31,38.15
321,Nevada,32,1985,58.96,41.96
322,New Hampshire,33,1985,49.26,35.53
323,New Jersey,34,1985,60.03,45
324,New Mexico,35,1985,64.86,46.54
325,New York,36,1985,51.69,37.73
326,North Carolina,37,1985,68.07,51.44
327,North Dakota,38,1985,49.24,30.83
328,Ohio,39,1985,58.54,42.41
329,Oklahoma,40,1985,69.87,49.95
330,Oregon,41,1985,54.7,38.41
331,Pennsylvania,42,1985,55.76,40.39
332,Rhode Island,44,1985,56.29,42.09
333,South Carolina,45,1985,72.54,55.28
334,South Dakota,46,1985,55.29,35.64
335,Tennessee,47,1985,65.72,49.92
336,Texas,48,1985,76.92,56.52
337,Utah,49,1985,57.07,41.11
338,Vermont,50,1985,48.59,35.15
339,Virginia,51,1985,64.18,47.53
340,Washington,53,1985,52.3,37.15
341,West Virginia,54,1985,59.42,44.07
342,Wisconsin,55,1985,49.84,33.35
343,Wyoming,56,1985,50.36,32.94
344,Alabama,1,1986,73.97,56.55
345,Arizona,4,1986,71.54,53.59
346,Arkansas,5,1986,71.8,54.04
347,California,6,1986,69.4,50.06
348,Colorado,8,1986,57.74,39.49
349,Connecticut,9,1986,56.27,42.16
350,Delaware,10,1986,62.42,48.71
351,District of Columbia,11,1986,64.58,46.95
352,Florida,12,1986,80.13,65.18
353,Georgia,13,1986,74.95,57.39
354,Idaho,16,1986,54.39,38.51
355,Illinois,17,1986,61.5,44.82
356,Indiana,18,1986,60.71,45.01
357,Iowa,19,1986,57.36,40.61
358,Kansas,20,1986,68.17,47.65
359,Kentucky,21,1986,65.17,48.95
360,Louisiana,22,1986,76.91,59.9
361,Maine,23,1986,47.75,33.29
362,Maryland,24,1986,61.98,46.59
363,Massachusetts,25,1986,54.11,40.53
364,Michigan,26,1986,51.35,37.43
365,Minnesota,27,1986,50.1,33.27
366,Mississippi,28,1986,74.68,57.08
367,Missouri,29,1986,65.5,48.02
368,Montana,30,1986,54.06,37.36
369,Nebraska,31,1986,61.61,42.43
370,Nevada,32,1986,61.79,44.35
371,New Hampshire,33,1986,49.74,36
372,New Jersey,34,1986,60.19,44.92
373,New Mexico,35,1986,65.81,47.68
374,New York,36,1986,51.9,38.09
375,North Carolina,37,1986,69.5,52.31
376,North Dakota,38,1986,52.03,34.73
377,Ohio,39,1986,59.28,43.96
378,Oklahoma,40,1986,71.94,52.49
379,Oregon,41,1986,57.95,41.91
380,Pennsylvania,42,1986,56.01,40.75
381,Rhode Island,44,1986,56.41,42.26
382,South Carolina,45,1986,73.91,56.38
383,South Dakota,46,1986,57.11,39.27
384,Tennessee,47,1986,68.17,51.67
385,Texas,48,1986,77.78,57.7
386,Utah,49,1986,59.66,43.77
387,Vermont,50,1986,49.08,35.43
388,Virginia,51,1986,64.99,47.85
389,Washington,53,1986,56.05,41.24
390,West Virginia,54,1986,60.15,44.69
391,Wisconsin,55,1986,51.25,35.05
392,Wyoming,56,1986,53.61,36.97
393,Alabama,1,1987,72.22,55.01
394,Arizona,4,1987,70.1,52.29
395,Arkansas,5,1987,71.29,53.37
396,California,6,1987,69.29,49.48
397,Colorado,8,1987,56.43,38.23
398,Connecticut,9,1987,56.41,42.02
399,Delaware,10,1987,61.51,48.15
400,District of Columbia,11,1987,63.68,46.68
401,Florida,12,1987,78.77,63.8
402,Georgia,13,1987,72.62,55.33
403,Idaho,16,1987,55.68,38.74
404,Illinois,17,1987,63.22,45.98
405,Indiana,18,1987,62.36,46
406,Iowa,19,1987,60.37,43.53
407,Kansas,20,1987,66.76,47.07
408,Kentucky,21,1987,65.54,49.25
409,Louisiana,22,1987,75.55,58.1
410,Maine,23,1987,48.72,34.34
411,Maryland,24,1987,61.41,46.54
412,Massachusetts,25,1987,54.38,40.38
413,Michigan,26,1987,53.85,40.3
414,Minnesota,27,1987,54.73,37.85
415,Mississippi,28,1987,73.15,55.59
416,Missouri,29,1987,65.73,48.16
417,Montana,30,1987,56.21,38.49
418,Nebraska,31,1987,62.7,43.38
419,Nevada,32,1987,60.88,43.61
420,New Hampshire,33,1987,50,36.3
421,New Jersey,34,1987,59.8,44.76
422,New Mexico,35,1987,64.45,46.38
423,New York,36,1987,52.78,38.85
424,North Carolina,37,1987,67.43,50.95
425,North Dakota,38,1987,55.79,37.84
426,Ohio,39,1987,60.53,44.78
427,Oklahoma,40,1987,70.49,51.21
428,Oregon,41,1987,59.1,41.6
429,Pennsylvania,42,1987,56.67,41.56
430,Rhode Island,44,1987,56.99,41.94
431,South Carolina,45,1987,71.56,54.65
432,South Dakota,46,1987,60.61,41.7
433,Tennessee,47,1987,67.52,51.26
434,Texas,48,1987,76.23,56.24
435,Utah,49,1987,59.06,43.19
436,Vermont,50,1987,49.74,36.15
437,Virginia,51,1987,63.63,47.3
438,Washington,53,1987,57.78,41.87
439,West Virginia,54,1987,60.26,45.24
440,Wisconsin,55,1987,54.57,38.9
441,Wyoming,56,1987,53.68,36.93
442,Alabama,1,1988,71.99,53.64
443,Arizona,4,1988,71.18,52.57
444,Arkansas,5,1988,70.27,51.12
445,California,6,1988,69.52,49.49
446,Colorado,8,1988,56.33,37.36
447,Connecticut,9,1988,56.32,41.96
448,Delaware,10,1988,60.85,47
449,District of Columbia,11,1988,63.6,45.51
450,Florida,12,1988,78.41,62.9
451,Georgia,13,1988,72.62,54.34
452,Idaho,16,1988,54.4,37.74
453,Illinois,17,1988,62.77,42.76
454,Indiana,18,1988,61.62,43.31
455,Iowa,19,1988,60.3,39.38
456,Kansas,20,1988,68.04,45.72
457,Kentucky,21,1988,64.71,46.61
458,Louisiana,22,1988,75.55,57.09
459,Maine,23,1988,48.68,34.63
460,Maryland,24,1988,61.05,45.3
461,Massachusetts,25,1988,54.51,40.66
462,Michigan,26,1988,52.14,37.36
463,Minnesota,27,1988,52.21,32.7
464,Mississippi,28,1988,72.96,54.1
465,Missouri,29,1988,65.45,45.23
466,Montana,30,1988,55.27,37.35
467,Nebraska,31,1988,62.78,41.55
468,Nevada,32,1988,61.02,43.41
469,New Hampshire,33,1988,49.92,36.44
470,New Jersey,34,1988,59.66,43.81
471,New Mexico,35,1988,65.74,46.56
472,New York,36,1988,52.19,38.07
473,North Carolina,37,1988,67.2,49.48
474,North Dakota,38,1988,54.77,34.4
475,Ohio,39,1988,59.79,42.64
476,Oklahoma,40,1988,71.57,50.11
477,Oregon,41,1988,57.82,40.9
478,Pennsylvania,42,1988,56.19,40.26
479,Rhode Island,44,1988,56.92,42.02
480,South Carolina,45,1988,71.51,53.09
481,South Dakota,46,1988,59.47,39.1
482,Tennessee,47,1988,66.63,48.84
483,Texas,48,1988,78.03,56.23
484,Utah,49,1988,58.8,42.31
485,Vermont,50,1988,49.19,35.89
486,Virginia,51,1988,63.82,46.13
487,Washington,53,1988,55.7,40.7
488,West Virginia,54,1988,60.14,43.48
489,Wisconsin,55,1988,52.97,34.78
490,Wyoming,56,1988,53.59,36.14
491,Alabama,1,1989,71,54.57
492,Arizona,4,1989,72.96,52.97
493,Arkansas,5,1989,68.28,50.91
494,California,6,1989,69.12,48.72
495,Colorado,8,1989,56.95,37.2
496,Connecticut,9,1989,55.43,41.89
497,Delaware,10,1989,60.67,48.2
498,District of Columbia,11,1989,62.32,46.18
499,Florida,12,1989,80.07,64.43
500,Georgia,13,1989,72.6,55.76
501,Idaho,16,1989,53.08,36.84
502,Illinois,17,1989,59.99,42.51
503,Indiana,18,1989,58.98,43.47
504,Iowa,19,1989,57.35,38.36
505,Kansas,20,1989,66,44.02
506,Kentucky,21,1989,62.75,47.04
507,Louisiana,22,1989,74.49,57.73
508,Maine,23,1989,47.68,32.87
509,Maryland,24,1989,60.19,46.01
510,Massachusetts,25,1989,53.46,40.13
511,Michigan,26,1989,50.16,36.34
512,Minnesota,27,1989,49.03,30.63
513,Mississippi,28,1989,71.17,54.57
514,Missouri,29,1989,63.25,44.52
515,Montana,30,1989,51.75,34.85
516,Nebraska,31,1989,61.14,39.47
517,Nevada,32,1989,60.5,42.27
518,New Hampshire,33,1989,49.02,35.3
519,New Jersey,34,1989,59,44.66
520,New Mexico,35,1989,67.8,47.27
521,New York,36,1989,51.08,37.4
522,North Carolina,37,1989,66.81,50.87
523,North Dakota,38,1989,50.82,31.62
524,Ohio,39,1989,57.61,42.84
525,Oklahoma,40,1989,69.54,48.89
526,Oregon,41,1989,56.16,39.8
527,Pennsylvania,42,1989,55.05,40.37
528,Rhode Island,44,1989,55.65,42.07
529,South Carolina,45,1989,71.38,54.87
530,South Dakota,46,1989,56.46,36.76
531,Tennessee,47,1989,64.73,49.07
532,Texas,48,1989,77.45,55.68
533,Utah,49,1989,59.71,42.39
534,Vermont,50,1989,48.3,34.69
535,Virginia,51,1989,62.78,46.67
536,Washington,53,1989,54.88,40.13
537,West Virginia,54,1989,58.56,43.7
538,Wisconsin,55,1989,50.47,33.14
539,Wyoming,56,1989,52.5,35.04
540,Alabama,1,1990,74.68,56.32
541,Arizona,4,1990,70.81,52.18
542,Arkansas,5,1990,71.87,53.81
543,California,6,1990,68.91,48.54
544,Colorado,8,1990,57.16,38.16
545,Connecticut,9,1990,58.33,44
546,Delaware,10,1990,63.34,50.16
547,District of Columbia,11,1990,65.96,48.3
